,Unnamed: 0_x,state_code,dist_code,court_no,state_name,district_name,court_name,Unnamed: 0_y,total_cases,total_valid_cases,median_decision_days,mean_decision_days,Unnamed: 0,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries
0,0,1,1,3,Maharashtra,Nandurbar,DISTRICT AND SESSIONS COURT,0,4416.0,4331.0,144.0,462.4248441468483,0,9900.0,3.0136986301369864,758.2777777777777,437.0,18.0,18.0
1,1,1,1,7,Maharashtra,Nandurbar,Additional District  And Sessions Court Shahada,1,5136.0,5105.0,308.0,594.6168462291871,1,1330.0,0.4048706240487062,443.33333333333326,401.0,3.0,3.0
2,2,1,2,1,Maharashtra,Dhule,DISTRICT AND SESSIONS COURT,2,24573.0,24108.0,174.0,560.3326696532272,2,17992.0,5.477016742770166,493.5740740740741,299.5,54.0,54.0
3,3,1,3,2,Maharashtra,Jalgaon,DISTRICT AND SESSIONS COURT JALGAON,3,32220.0,31588.0,41.0,370.8186020007597,3,1582.0,0.4815829528158295,1582.0,1582.0,1.0,1.0
4,5,1,4,1,Maharashtra,Buldhana,DISTRICT COURT,5,13579.0,13259.0,77.0,412.60328833245336,4,35359.0,10.763774733637748,505.10434782608695,379.0,115.0,115.0
5,6,1,4,14,Maharashtra,Buldhana,District Judge and Addl. Sessions Judge,7,2087.0,1954.0,27.0,486.67246673490274,6,3184.0,0.9692541856925418,249.0769230769231,219.0,13.0,13.0
6,7,1,5,1,Maharashtra,Akola,Principal District and Sessions Judge,8,19681.0,19314.0,104.0,446.93326084705393,7,25837.0,7.865144596651446,639.1698113207548,545.0,53.0,53.0
7,8,1,5,5,Maharashtra,Akola,District Judge - 1,9,3418.0,3373.0,148.0,447.2739401126594,8,2665.0,0.8112633181126332,295.0,230.5,12.0,12.0
8,9,1,7,1,Maharashtra,Amravati,DISTRICT  AND SESSIONS COURT AMRAVATI,10,26593.0,26089.0,121.0,522.7881099313887,9,10804.0,3.2888888888888888,673.5652173913044,754.0,23.0,23.0
9,11,1,8,1,Maharashtra,Wardha,DISTRICT AND SESSIONS COURT WARDHA.,12,21418.0,20265.0,53.0,327.0962250185048,10,30322.0,9.230441400304414,536.0759493670886,365.0,79.0,79.0
10,12,1,9,1,Maharashtra,Nagpur,DISTRICT  AND  SESSIONS COURT NAGPUR,13,67400.0,66647.0,135.0,460.9384968565727,11,47872.0,14.572907153729071,388.2415730337079,213.0,178.0,178.0
11,13,1,10,1,Maharashtra,Bhandara,DISTRICT  SESSIONS COURT BHANDARA,14,8961.0,8855.0,270.0,549.825974025974,12,26564.0,8.086453576864535,1096.40625,861.0,32.0,32.0
12,14,1,11,3,Maharashtra,Gondia,DISTRICT COURT,15,7160.0,7097.0,225.0,477.43454980977884,13,2446.0,0.7445966514459665,635.4,364.0,5.0,5.0
13,16,14,17,1,Haryana,Rewari,District and Sessions Court,676,77940.0,76782.0,189.0,378.20898127165225,492,8339.0,2.5385083713850842,545.1818181818181,185.0,22.0,22.0
14,18,16,2,3,West Bengal,Hooghly,DISTRICT & SESSION JUDGE,690,68844.0,67376.0,27.0,295.5228864877701,505,7387.0,2.2487062404870626,793.1538461538463,934.0,13.0,13.0
15,20,16,2,7,West Bengal,Hooghly,ADDITIONAL DISTRICT and SESSIONS JUDGE,691,11582.0,11532.0,21.0,304.4415539368713,506,7553.0,2.299238964992389,747.2,739.0,15.0,15.0
16,22,16,4,2,West Bengal,Jalpaiguri,District and Session Judge,694,68720.0,68186.0,28.0,242.33531810048984,509,3987.0,1.2136986301369863,610.1111111111112,696.0,9.0,9.0
17,24,16,6,6,West Bengal,Coochbehar,Addl. District and Sessions Judge ,698,3590.0,3566.0,27.0,136.94111048794167,513,2155.0,0.6560121765601218,1449.333333333333,1449.0,3.0,3.0
18,26,16,12,8,West Bengal,Murshidabad,Additional District and Session Judge,711,1780.0,1778.0,496.0,630.310461192351,526,4995.0,1.5205479452054795,552.9230769230769,557.0,13.0,13.0
19,28,18,15,1,Chhattisgarh,Bastar,District and Sessions Judge,808,10180.0,9864.0,182.0,290.13665855636657,610,3256.0,0.99117199391172,786.3333333333335,884.5,6.0,6.0
20,30,20,2,6,Tripura,North Tripura,District And Sessions Judge Estt,824,5366.0,5276.0,212.0,326.57164518574683,624,1673.0,0.5092846270928463,601.0,646.5,4.0,4.0
21,34,20,5,2,Tripura,Unakoti  Tripura,The District and Sessions Judge,826,4606.0,4588.0,175.0,328.691368788143,625,8610.0,2.6210045662100456,1022.0833333333335,1024.0,12.0,12.0
22,35,22,3,1,Punjab,Rupnagar,District and Sessions Court,842,72530.0,71736.0,125.0,285.2757611241218,633,5552.0,1.6901065449010657,847.6,954.0,10.0,10.0
23,38,22,16,1,Punjab,Barnala,District and Sessions Court,847,37732.0,37192.0,97.0,234.93353409335342,638,2002.0,0.6094368340943683,683.25,672.5,4.0,4.0
24,40,24,4,2,Sikkim,Gangtok,District and Sessions Court,906,15052.0,13728.0,32.0,129.45673076923077,696,1915.0,0.5829528158295282,529.2,557.0,5.0,5.0
25,44,9,31,17,Rajasthan,Bhilwara,LABOUR - bhilwara District HQ,961,130.0,130.0,1448.0,1466.0923076923075,722,1782.0,0.5424657534246575,540.6666666666666,428.5,6.0,6.0
