state_name,district
Andhra Pradesh,Ananthapur
Andhra Pradesh,Chittoor
Andhra Pradesh,East Godavari
Andhra Pradesh,Guntur
Andhra Pradesh,Kadapa
Andhra Pradesh,Kurnool
Andhra Pradesh,Krishna
Andhra Pradesh,Nellore
Andhra Pradesh,Prakasham
Andhra Pradesh,Srikakulam
Andhra Pradesh,Visakapatnam
Andhra Pradesh,Vizianagaram
Andhra Pradesh,West Godavari
Assam,Tinsukia
Assam,Sivasagar
Assam,Morigaon
Assam,Lakhimpur
Assam,Sonitpur
Assam,Dibrugarh
Assam,Darrang
Assam,Bongaigaon
Assam,Nagaon
Assam,Jorhat
Assam,Karimganj
Assam,Cachar
Assam,Nalbari
Assam,Dhubri
Assam,Dhemaji
Assam,Goalpara
Assam,Barpeta
Assam,Hailakandi
Assam,Kokrajhar
Assam,Kamrup
Assam,Udalguri
Assam,Karbi Anglong
Assam,Baksa
Assam,Dima Hasao
Assam,Chirang
Assam,Kamrup Metro
Assam,Golaghat
Bihar,Samastipur
Bihar,Darbhanga
Bihar,Madhubani
Bihar,Sitamarhi
Bihar,Bhojpur
Bihar,Bhagalpur
Bihar,Gaya
Bihar,Jehanabad
Bihar,Patna
Bihar,Kaimur at Bhabhua
Bihar,Saran at Chapra
Bihar,Katihar
Bihar,Begusarai
Bihar,Banka
Bihar,Purnea
Bihar,Motihari
Bihar,Munger
Bihar,Madhepura
Bihar,Rohtas Sasaram
Bihar,Khagaria
Bihar,Jamui
Bihar,Lakhisarai
Bihar,Sheikhpura
Bihar,Saharsa
Bihar,Supaul
Bihar,Gopalganj
Bihar,Araria
Bihar,Kishanganj
Bihar,Buxar
Bihar,Nawada
Bihar,Bettiah
Bihar,Siwan
Bihar,Nalanda
Bihar,Sheohar
Bihar,Muzaffarpur
Bihar,Vaishali
Chandigarh,Chandigarh
Chhattisgarh,Korba
Chhattisgarh,Bilaspur
Chhattisgarh,Raipur
Chhattisgarh,Surguja
Chhattisgarh,Dhamtari
Chhattisgarh,Raigarh
Chhattisgarh,Durg
