state_code,state_name,district_name,dist_code,court_no,court_name
1,Maharashtra,Nandurbar,1,7,Additional District  And Sessions Court Shahada
1,Maharashtra,Nashik,20,9,ADDITIONAL DISTRICT AND SESSIONS COURT MALEGAON
1,Maharashtra,Thane,21,25,ADDL.DIST.  SESSIONS COURT KALYAN
1,Maharashtra,Thane,21,28,ADDIL. DISTRICT AND SESSEIONS COURT PALGHAR
1,Maharashtra,Pune,25,4,ADDITIONAL DISTRICT AND SESSIONS COURT BARAMATI
1,Maharashtra,Latur,28,11,Additional District  Addl. Sessions Court Udgir
1,Maharashtra,Latur,28,12,Additional District and Sessions Court Nilanga
1,Maharashtra,Latur,28,13,Additional District and Sessions Court Ahmedpur.
1,Maharashtra,Satara,31,7,ADDITIONAL DISTRICT AND SESSIONS JUDGE KARAD
1,Maharashtra,Washim,36,9,Additional District and Sessions Court Mangrulpir
2,Andhra Pradesh,Ananthapur,2,16,II Addl.District Judges Court Hindupur
2,Andhra Pradesh,Ananthapur,2,26,VI Addl.District Judge Court Gooty
2,Andhra Pradesh,Chittoor,3,5,ADDITIONAL DISTRICT JUDGE
2,Andhra Pradesh,Chittoor,3,19,II Additional District Court Madanapalle
2,Andhra Pradesh,East Godavari,4,3,III Addl. District And Sessions Court
2,Andhra Pradesh,East Godavari,4,6,II Addl. Dist. and Sessions Court Amalapuram
2,Andhra Pradesh,East Godavari,4,22,XII Addl. District and Sessions Judges court
2,Andhra Pradesh,East Godavari,4,34,VII ADDL. DISTRICT AND SESSIONS COURT PEDDAPURAM
2,Andhra Pradesh,Guntur,5,23,Addl District Judges Court Narasaraopet
2,Andhra Pradesh,Guntur,5,32,X ADDL. DISTRICT COURT
2,Andhra Pradesh,Kadapa,7,14,V Additional District Judge Court Rayachoty
2,Andhra Pradesh,Kadapa,7,15,II Additional District  Court Proddatur
2,Andhra Pradesh,Kadapa,7,27,III Additional District Judge Court Rajampet
2,Andhra Pradesh,Kurnool,10,6,II ADDITIONAL DISTRICT JUDGE COURT
2,Andhra Pradesh,Kurnool,10,15,III Addl.District Court Complex Nandyal
2,Andhra Pradesh,Kurnool,10,30,V Addl.District Court Complex Allagadda
2,Andhra Pradesh,Krishna,11,1,II Additional District Judge Vijayawada
2,Andhra Pradesh,Krishna,11,19,XI Addl District Court GUDIVADA
2,Andhra Pradesh,Krishna,11,23,XV ADDITIONAL DISTRICT AND SESSIONS COURT NUZVID
2,Andhra Pradesh,Nellore,15,10,VII Addl. District and Session Court
2,Andhra Pradesh,Prakasham,17,22,VI Addl District and Sessions Court Markapur
2,Andhra Pradesh,Srikakulam,19,13,VI Addl.District and Sessions Judge Court Sompeta
2,Andhra Pradesh,Visakapatnam,20,6,X Addl District and Session Judges Court AKP
2,Andhra Pradesh,Visakapatnam,20,10,XIII ADDITIONAL DISTRICT JUDGE COURT AT GAJUWAKA
2,Andhra Pradesh,Visakapatnam,20,24,Additional District Court Chodavaram
2,Andhra Pradesh,Vizianagaram,21,17,II Additional District and Sessions Court PVP
2,Andhra Pradesh,West Godavari,23,6,III ADDL DISTRICT COURT BHIMAVARAM
2,Andhra Pradesh,West Godavari,23,13,X ADDL DISTRICT COURT NARSAPUR
2,Andhra Pradesh,West Godavari,23,20,IX Additional District and Sessions Court
2,Andhra Pradesh,West Godavari,23,23,ADDITIONAL DISTRICT COURT TANUKU
3,Karnataka,UTTARA KANNADA,10,18,1st ADDL. Dist AND SESSIONS JUDGE SITTING AT SIRSI
3,Karnataka,HAVERI,11,13,II Addl District and Sessions Judge Ranebennur
3,Karnataka,BALLARI,12,16,III ADDL DISTRICT AND SESSIONS JUDGE HOSAPETE
3,Karnataka,UDUPI,16,7,ADDL.DISTRICT AND SESSIONS JUDGE-SIT AT KUNDAPURA
3,Karnataka,TUMAKURU,18,22,V Addl. District and Sessions Judge Tiptur
3,Karnataka,TUMAKURU,18,23,IV Addl. District and Sessions Court Madhugiri
3,Karnataka,BENGALURU RURAL,21,5,IV ADDL. DISTRICT AND SESSIONS JUDGE DODBALLAPUR
3,Karnataka,BENGALURU RURAL,21,13,III Addl. District and Sessions Judge  ANEKAL
3,Karnataka,BENGALURU RURAL,21,18,V ADDITIONAL DIST  SESSIONS JUDGE  DEVANAHALLI.
3,Karnataka,MANDYA,22,18,III ADL DISTRICT AND SESSIONS JUDGE SRPATTANA
3,Karnataka,DAKSHINA KANNADA,24,9,V ADDL.DISTRICT AND SESSIONS JUDGE PUTTUR
3,Karnataka,KODAGU,25,8,II Addl DISTRICT AND SESSIONS COURT VIRAJPET
3,Karnataka,CHAMRAJNAGAR,27,8,ADDL. DISTRICT AND SESSIONS COURT Kollegal
3,Karnataka,CHIKKABALLAPUR,29,7,II ADDL DISTRICT AND SESSIONS COURT CHINTAMANI
4,Kerala,Ernakulam,2,32,Vth Addl District Court
4,Kerala,Ernakulam,2,38,Addl District and Sessions Court N.Paravur
4,Kerala,Ernakulam,2,52,Additional District and Sessions Court-POCSO
4,Kerala,Thrissur,4,10,Addl. Dist. and Sessions Court/MACT Irinjalakuda
4,Kerala,Kozhikode,5,12,Additional District and Sessions Court
4,Kerala,Kozhikode,5,24,Additional District and Sessions Court III
4,Kerala,Alappuzha,6,21,ADDL.DISTRICT AND SESSIONS COURT-I MAVELIKARA
4,Kerala,Palakkad,8,17,Addl District  Sessions Court  MACT  Ottapalam
4,Kerala,Thiruvananthapuram,9,22,Addl District and Sessions Court Neyyattinkara
4,Kerala,Kottayam,10,19,MACT / ADDL. DISTRICT AND SESSIONS COURT PALA
5,Himachal Pradesh,Bilaspur,7,2,Addl. District and Session Court Ghumarwin
6,Assam,Kamrup Metro,1,4,Dist Judge and Addl Dist Judges
6,Assam,Sivasagar,3,8,Addl Dist and Sessions Judge
6,Assam,Sonitpur,6,7,Addl District and Sessions Judge
6,Assam,Nagaon,10,8,Addl. District and Sessions Judge FTC
6,Assam,Dhubri,16,8,Additional District and Sessions Judge
6,Assam,Barpeta,20,8,Addl. District and Sessions Judge
6,Assam,Kamrup,23,6,Additional District and Sessions Judge Rangia
6,Assam,Chirang,25,6,Additional District and Sessions Judge
9,Rajasthan,Bhilwara,31,32,ADDITIONAL DISTRICT SESSION JUDGE GULABPURA
10,Tamil Nadu,Tirunelveli,3,16,II Additional District Court (PCR) Tirunelveli
10,Tamil Nadu,Tirunelveli,3,26,Additional District - Sessions Court Tenkasi
10,Tamil Nadu,Theni,4,13,Additional District Court Periyakulam
10,Tamil Nadu,Nagapattinam,6,16,Additional District Court Mayiladuthurai
10,Tamil Nadu,Viluppuram,10,10,Additional District and Sessions Court Kallakurich
10,Tamil Nadu,Viluppuram,10,27,Additional District Court No.1 Tindivanam
10,Tamil Nadu,Viluppuram,10,28,Additional District Court No.2 Tindivanam
